shape,N,K,instances,families,params,pct_of_macs,pct_of_bytes_q4,pct_of_bytes_ternary
3072 x 1024,3072,1024,56,gate_proj/up_proj,176160768,29.557950296899055,26.908528675690196,16.830310141875877
151936 x 1024,151936,1024,1,lm_head (tied),155582464,26.105124257752365,32.66159147787576,57.805492298630405
1024 x 3072,1024,3072,28,down_proj,88080384,14.778975148449527,13.454264337845098,8.415155070937939
1024 x 1024,1024,1024,56,k_proj/v_proj,58720256,9.852650098966352,8.969509558563397,5.610103380625293
1024 x 2048,1024,2048,28,o_proj,58720256,9.852650098966352,8.969509558563397,5.610103380625293
2048 x 1024,2048,1024,28,q_proj,58720256,9.852650098966352,8.969509558563397,5.610103380625293
