family,tensors,shape,params,pct_of_model
embedding,1,"[151936, 1024]",155582464,26.102253985706433
down_proj,28,"[1024, 3072]",88080384,14.777350192413413
gate_proj,28,"[3072, 1024]",88080384,14.777350192413413
up_proj,28,"[3072, 1024]",88080384,14.777350192413413
o_proj,28,"[1024, 2048]",58720256,9.851566794942276
q_proj,28,"[2048, 1024]",58720256,9.851566794942276
k_proj,28,"[1024, 1024]",29360128,4.925783397471138
v_proj,28,"[1024, 1024]",29360128,4.925783397471138
norm,113,[128] / [1024],65536,0.010995052226498075
