condition,tensors,params,mean_rel_err,ppl,ratio_to_baseline
layer0,7,15728640,0.1772,22.0798,1.0275
layer1,7,15728640,0.1773,21.9231,1.0202
layer13,7,15728640,0.1778,21.8083,1.0148
layer14,7,15728640,0.1789,21.6624,1.0081
layer15,7,15728640,0.179,21.4999,1.0005
layer26,7,15728640,0.1776,22.3543,1.0403
layer27,7,15728640,0.1774,21.9508,1.0215
