scheme,linear_bpw,embedding,weight_MiB_per_token,linear_share_pct,embedding_share_pct,vs_q4km,arithmetic_intensity,total_MiB_at_L128,vs_q4km_at_L128,total_MiB_at_L512,vs_q4km_at_L512,total_MiB_at_L1024,vs_q4km_at_L1024,total_MiB_at_L2048,vs_q4km_at_L2048,total_MiB_at_L4096,vs_q4km_at_L4096
BF16,16.0,bf16,1137.0,73.87862796833772,26.099384344766932,0.32774966331354444,0.9997801231310466,1151.0,0.3359264701889661,1193.0,0.3593054209450964,1249.0,0.38803151896517213,1361.0,0.43839189359845704,1585.0,0.5177611149447949
INT8 / Q8_0,8.5,q8_0,604.1484375,73.86429762966986,26.094321811433964,0.6168208739056782,1.8815740130090133,618.1484375,0.6254992227291685,660.1484375,0.6493257316654635,716.1484375,0.6767470845560561,828.1484375,0.7204642793128496,1052.1484375,0.7799767959903471
"Q4_K_M (shipped, exact recipe)",4.5,q6_k,372.6513671875,67.27132168922549,32.66159147787576,1.0,3.0504382919063406,386.6513671875,1.0,428.6513671875,1.0,484.6513671875,1.0,596.6513671875,1.0,820.6513671875,1.0
Q3_K_M,3.4375,q6_k,302.4326171875,59.67238311736537,40.24495384108676,1.2321798179475671,3.758688499181442,316.4326171875,1.2219074336397893,358.4326171875,1.1959050226817607,414.4326171875,1.169433454530031,526.4326171875,1.1333860169515106,750.4326171875,1.0935710260878164
PTQTP 2x1.58,3.375,q6_k,299.1513671875,59.230048542263106,40.68638172434393,1.2456950161753135,3.799915777378065,313.1513671875,1.2347107747289243,355.1513671875,1.2069540111363168,411.1513671875,1.1787662789565316,523.1513671875,1.1404947107280659,747.1513671875,1.0983736405069777
IQ2_XXS,2.0625,q6_k,230.2451171875,47.02868461345967,52.86273545092484,1.6184984582497424,4.93712967243639,244.2451171875,1.583046456116782,286.2451171875,1.4974975692134487,342.2451171875,1.4160943220176967,454.2451171875,1.3135008932659997,678.2451171875,1.2099628090070451
W1.58 single plane,1.6875,q6_k,210.5576171875,42.075775354689696,57.805492298630405,1.769830852785804,5.39875980353507,224.5576171875,1.7218359013163902,266.5576171875,1.6081002363026873,322.5576171875,1.5025264987178284,434.5576171875,1.3730086496908898,658.5576171875,1.2461345002617286
IQ1_S,1.5625,q6_k,203.9951171875,40.21235955594066,59.66508849112695,1.82676611247014,5.5724372998358,217.9951171875,1.7736698517652434,259.9951171875,1.6486900670460307,315.9951171875,1.5337305572982178,427.9951171875,1.3940611545017079,651.9951171875,1.258677167288506
"W1.58, free embedding (bound)",0.0,q6_k,121.9638671875,0.0,99.79502125853745,3.0554243300157737,9.320383374302391,135.9638671875,2.8437803012346743,177.9638671875,2.4086426866408757,233.9638671875,2.0714795537171455,345.9638671875,1.724606017495279,569.9638671875,1.4398305128306172
