shape,rows,cols,kernel,bpw,ns_per_gemv,weight_MiB,GB_s
gate/up_proj,3072,1024,threads1-Q4_K-real,4.5000,229312,0,7.72
gate/up_proj,3072,1024,threads1-fold9,4.1250,48373,0,33.53
gate/up_proj,3072,1024,threads2-Q4_K-real,4.5000,115303,0,15.35
gate/up_proj,3072,1024,threads2-fold9,4.1250,24295,0,66.76
gate/up_proj,3072,1024,threads4-Q4_K-real,4.5000,58358,0,30.32
gate/up_proj,3072,1024,threads4-fold9,4.1250,12589,0,128.85
down_proj,1024,3072,Q6_K-real-actf32,6.5625,390434,2.46,6.61
down_proj,1024,3072,Q6_K-real-actint8,6.5625,390012,2.46,6.62
down_proj,1024,3072,T3 fold9 K=2-vs-real,4.1250,47187,1.55,34.37
down_proj,1024,3072,T1 2-bit-vs-real,2.1250,43224,0.80,19.33
down_proj,1024,3072,threads1-Q6_K-real,6.5625,390583,0,6.61
down_proj,1024,3072,threads1-fold9,4.1250,47025,0,34.49
down_proj,1024,3072,threads2-Q6_K-real,6.5625,196893,0,13.11
down_proj,1024,3072,threads2-fold9,4.1250,23504,0,69.01
down_proj,1024,3072,threads4-Q6_K-real,6.5625,99629,0,25.90
down_proj,1024,3072,threads4-fold9,4.1250,12330,0,131.55
q_proj,2048,1024,Q4_K-real-actf32,4.5000,166822,1.12,7.07
q_proj,2048,1024,Q4_K-real-actint8,4.5000,152573,1.12,7.73
q_proj,2048,1024,T3 fold9 K=2-vs-real,4.1250,32836,1.03,32.93
q_proj,2048,1024,T1 2-bit-vs-real,2.1250,29562,0.53,18.84
q_proj,2048,1024,threads1-Q4_K-real,4.5000,152270,0,7.75
q_proj,2048,1024,threads1-fold9,4.1250,32544,0,33.23
q_proj,2048,1024,threads2-Q4_K-real,4.5000,76465,0,15.43
q_proj,2048,1024,threads2-fold9,4.1250,16674,0,64.85
q_proj,2048,1024,threads4-Q4_K-real,4.5000,38845,0,30.37
q_proj,2048,1024,threads4-fold9,4.1250,8852,0,122.15
o_proj,1024,2048,Q4_K-real-actf32,4.5000,162051,1.12,7.28
o_proj,1024,2048,Q4_K-real-actint8,4.5000,151752,1.12,7.77
o_proj,1024,2048,T3 fold9 K=2-vs-real,4.1250,30966,1.03,34.92
o_proj,1024,2048,T1 2-bit-vs-real,2.1250,29789,0.53,18.70
o_proj,1024,2048,threads1-Q4_K-real,4.5000,151689,0,7.78
o_proj,1024,2048,threads1-fold9,4.1250,31573,0,34.25
o_proj,1024,2048,threads2-Q4_K-real,4.5000,76678,0,15.38
o_proj,1024,2048,threads2-fold9,4.1250,15840,0,68.27
o_proj,1024,2048,threads4-Q4_K-real,4.5000,38540,0,30.61
o_proj,1024,2048,threads4-fold9,4.1250,8448,0,128.00
k_proj,1024,1024,Q4_K-real-actf32,4.5000,83533,0.56,7.06
k_proj,1024,1024,Q4_K-real-actint8,4.5000,76384,0.56,7.72
k_proj,1024,1024,T3 fold9 K=2-vs-real,4.1250,16078,0.52,33.63
k_proj,1024,1024,T1 2-bit-vs-real,2.1250,14847,0.27,18.76
k_proj,1024,1024,threads1-Q4_K-real,4.5000,76208,0,7.74
k_proj,1024,1024,threads1-fold9,4.1250,15876,0,34.06
k_proj,1024,1024,threads2-Q4_K-real,4.5000,38313,0,15.39
k_proj,1024,1024,threads2-fold9,4.1250,8313,0,65.04
k_proj,1024,1024,threads4-Q4_K-real,4.5000,19689,0,29.96
k_proj,1024,1024,threads4-fold9,4.1250,4732,0,114.26
v_proj,1024,1024,Q6_K-real-actf32,6.5625,130448,0.82,6.59
v_proj,1024,1024,Q6_K-real-actint8,6.5625,130967,0.82,6.57
v_proj,1024,1024,T3 fold9 K=2-vs-real,4.1250,16407,0.52,32.95
v_proj,1024,1024,T1 2-bit-vs-real,2.1250,14930,0.27,18.66
v_proj,1024,1024,threads1-Q6_K-real,6.5625,130474,0,6.59
v_proj,1024,1024,threads1-fold9,4.1250,16239,0,33.30
v_proj,1024,1024,threads2-Q6_K-real,6.5625,66452,0,12.94
v_proj,1024,1024,threads2-fold9,4.1250,8361,0,64.67
v_proj,1024,1024,threads4-Q6_K-real,6.5625,34619,0,24.85
v_proj,1024,1024,threads4-fold9,4.1250,4854,0,111.38
lm_head,151936,1024,Q6_K-real-actf32,6.5625,19385235,121.71,6.58
lm_head,151936,1024,Q6_K-real-actint8,6.5625,19357960,121.71,6.59
lm_head,151936,1024,T3 fold9 K=2-vs-real,4.1250,3599326,76.51,22.29
lm_head,151936,1024,T1 2-bit-vs-real,2.1250,2279379,39.41,18.13
lm_head,151936,1024,threads1-Q6_K-real,6.5625,19364384,0,6.59
lm_head,151936,1024,threads1-fold9,4.1250,3619358,0,22.16
lm_head,151936,1024,threads2-Q6_K-real,6.5625,9683051,0,13.18
lm_head,151936,1024,threads2-fold9,4.1250,1648926,0,48.65
lm_head,151936,1024,threads4-Q6_K-real,6.5625,4886988,0,26.12
lm_head,151936,1024,threads4-fold9,4.1250,622862,0,128.80
