name,block,family,shape,dtype,params,rows,cols
model.layers.8.self_attn.k_norm.weight,8,norm,[128],BF16,128,128,1
model.layers.8.self_attn.k_proj.weight,8,k_proj,"[1024, 2560]",BF16,2621440,1024,2560
model.layers.8.self_attn.o_proj.weight,8,o_proj,"[2560, 4096]",BF16,10485760,2560,4096
model.layers.8.self_attn.q_norm.weight,8,norm,[128],BF16,128,128,1
model.layers.8.self_attn.q_proj.weight,8,q_proj,"[4096, 2560]",BF16,10485760,4096,2560
model.layers.8.self_attn.v_proj.weight,8,v_proj,"[1024, 2560]",BF16,2621440,1024,2560
model.layers.9.input_layernorm.weight,9,norm,[2560],BF16,2560,2560,1
model.layers.9.mlp.down_proj.weight,9,down_proj,"[2560, 9728]",BF16,24903680,2560,9728
model.layers.9.mlp.gate_proj.weight,9,gate_proj,"[9728, 2560]",BF16,24903680,9728,2560
model.layers.9.mlp.up_proj.weight,9,up_proj,"[9728, 2560]",BF16,24903680,9728,2560
model.layers.9.post_attention_layernorm.weight,9,norm,[2560],BF16,2560,2560,1
model.layers.9.self_attn.k_norm.weight,9,norm,[128],BF16,128,128,1
model.layers.9.self_attn.k_proj.weight,9,k_proj,"[1024, 2560]",BF16,2621440,1024,2560
model.layers.9.self_attn.o_proj.weight,9,o_proj,"[2560, 4096]",BF16,10485760,2560,4096
model.layers.9.self_attn.q_norm.weight,9,norm,[128],BF16,128,128,1
model.layers.9.self_attn.q_proj.weight,9,q_proj,"[4096, 2560]",BF16,10485760,4096,2560
model.layers.9.self_attn.v_proj.weight,9,v_proj,"[1024, 2560]",BF16,2621440,1024,2560
model.norm.weight,,norm,[2560],BF16,2560,2560,1
