family,tensors,shape,params,pct_of_model
down_proj,28,"[2048, 6144]",352321536,20.47696502125578
gate_proj,28,"[6144, 2048]",352321536,20.47696502125578
up_proj,28,"[6144, 2048]",352321536,20.47696502125578
embedding,1,"[151936, 2048]",311164928,18.08493860136206
o_proj,28,"[2048, 2048]",117440512,6.82565500708526
q_proj,28,"[2048, 2048]",117440512,6.82565500708526
k_proj,28,"[1024, 2048]",58720256,3.41282750354263
v_proj,28,"[1024, 2048]",58720256,3.41282750354263
norm,113,[128] / [2048],123904,0.007201313614827326
